Date,Open,High,Low,Close,Adj Close,Volume
2015-01-02,67.550003,67.639999,66.510002,67.089996,65.996582,283806
2015-01-05,66.720001,67.550003,65.910004,66.010002,64.934181,432741
2015-01-06,66.059998,67.050003,65.690002,66.230003,65.150604,497765
2015-01-07,66.599998,67.339996,66.029999,66.839996,65.750648,368094
2015-01-08,67.489998,68.989998,67.199997,68.930000,67.806595,417881
2015-01-09,68.889999,69.309998,67.800003,68.139999,67.029472,527892
2015-01-12,68.250000,69.919998,68.129997,69.879997,68.741104,533956
2015-01-13,69.839996,70.489998,69.699997,70.050003,68.908348,520322
2015-01-14,69.440002,70.389999,69.070000,70.029999,68.888664,544178
2015-01-15,72.500000,74.669998,72.150002,73.949997,72.744774,1522937
2015-01-16,73.949997,75.290001,73.699997,75.070000,73.846519,881133
2015-01-19,75.070000,75.660004,74.860001,75.290001,74.062943,427570
2015-01-20,75.739998,75.750000,74.470001,75.129997,73.905540,420351
2015-01-21,75.199997,75.900002,75.000000,75.589996,74.358040,485491
2015-01-22,75.660004,76.540001,75.050003,76.510002,75.263062,744434
2015-01-23,76.599998,78.379997,76.470001,78.330002,77.053398,865115
2015-01-26,78.330002,79.160004,77.879997,78.690002,77.407532,605003
2015-01-27,78.690002,79.220001,77.470001,77.720001,76.453339,529723
2015-01-28,78.080002,78.349998,76.959999,77.709999,76.443497,529296
2015-01-29,77.300003,78.459999,77.300003,78.459999,77.181274,505371
2015-01-30,79.110001,79.180000,77.459999,77.800003,76.532036,579260
2015-02-02,77.669998,78.720001,77.559998,78.279999,77.004211,479249
2015-02-03,78.669998,78.889999,76.989998,76.989998,75.735237,577285
2015-02-04,77.000000,77.500000,76.220001,77.500000,76.236916,451731
2015-02-05,77.169998,78.099998,77.169998,77.550003,76.286110,419048
2015-02-06,77.430000,77.500000,76.940002,77.260002,76.000839,223036
2015-02-09,76.940002,77.129997,76.099998,76.330002,75.085991,422271
2015-02-10,76.330002,77.029999,75.699997,76.559998,75.312233,315397
2015-02-11,76.879997,77.120003,76.430000,76.480003,75.233551,226379
2015-02-12,76.720001,77.459999,76.269997,77.080002,75.823769,382801
2015-02-13,77.250000,79.220001,73.940002,75.250000,74.023590,1296468
2015-02-16,75.320000,75.949997,74.470001,74.529999,73.315331,548623
2015-02-17,74.529999,74.980003,74.059998,74.410004,73.197289,470696
2015-02-18,74.300003,74.699997,73.970001,74.589996,73.374344,392621
2015-02-19,74.430000,74.760002,73.849998,74.680000,73.462883,576933
2015-02-20,74.449997,74.559998,73.589996,74.410004,73.197289,804071
2015-02-23,74.849998,75.339996,74.220001,75.339996,74.112122,490457
2015-02-24,75.300003,76.080002,75.209999,75.919998,74.682671,363557
2015-02-25,75.900002,76.029999,75.269997,75.430000,74.200661,296041
2015-02-26,75.550003,76.879997,75.389999,76.879997,75.627022,408436
2015-02-27,76.760002,77.879997,76.620003,77.629997,76.364799,636549
2015-03-02,77.959999,78.000000,77.279999,77.589996,76.325447,390791
2015-03-03,77.610001,78.410004,77.419998,77.459999,76.197578,422821
2015-03-04,77.800003,78.559998,77.180000,78.559998,77.279640,478850
2015-03-05,78.680000,79.059998,78.330002,78.570000,77.289482,414232
2015-03-06,78.470001,79.559998,78.470001,79.120003,77.830521,422907
2015-03-09,79.000000,79.529999,78.269997,78.839996,77.555084,320551
2015-03-10,78.669998,79.300003,78.010002,78.629997,77.348503,346261
2015-03-11,79.059998,80.239998,78.730003,79.989998,78.686333,421782
2015-03-12,80.019997,80.519997,79.629997,79.919998,78.617477,453673
2015-03-13,80.309998,80.760002,79.699997,80.639999,79.325745,305285
2015-03-16,80.980003,83.239998,80.980003,82.669998,81.322662,608140
2015-03-17,82.919998,83.199997,81.400002,81.930000,80.594719,508679
2015-03-18,82.139999,82.820000,81.389999,81.949997,80.614388,509625
2015-03-19,81.989998,83.250000,81.309998,81.900002,80.565208,504618
2015-03-20,82.029999,82.669998,81.559998,82.419998,81.076729,738309
2015-03-23,82.080002,82.089996,81.160004,81.809998,80.476677,374852
2015-03-24,81.750000,83.099998,81.459999,82.010002,80.673416,364336
2015-03-25,81.510002,81.779999,80.669998,80.730003,79.414284,391650
2015-03-26,80.050003,80.379997,79.190002,80.339996,79.030632,415673
2015-03-27,81.000000,81.500000,80.430000,81.139999,79.817596,345200
2015-03-30,81.650002,82.339996,81.360001,82.120003,80.781631,353808
2015-03-31,81.809998,82.370003,80.690002,80.900002,79.581505,645238
2015-04-01,80.110001,81.019997,79.599998,80.779999,80.157036,610432
2015-04-02,80.860001,81.699997,80.839996,81.370003,80.742493,345204
2015-04-07,81.370003,82.800003,81.370003,82.620003,81.982849,331707
2015-04-08,82.629997,82.760002,81.400002,81.570000,80.940948,436386
2015-04-09,81.620003,82.570000,81.620003,82.160004,81.526398,286018
2015-04-10,81.699997,83.519997,81.500000,83.349998,82.707214,561163
2015-04-13,83.239998,83.400002,82.629997,82.839996,82.201149,335102
2015-04-14,82.760002,83.150002,82.070000,82.290001,81.655396,302853
2015-04-15,82.550003,83.160004,82.440002,82.610001,81.972923,292440
2015-04-16,82.709999,82.730003,81.769997,82.029999,81.397400,272953
2015-04-17,82.120003,82.589996,80.790001,80.820000,80.196732,491272
2015-04-20,80.820000,81.519997,80.800003,81.370003,80.742493,224638
2015-04-21,81.839996,83.019997,81.480003,81.709999,81.079865,369229
2015-04-22,81.800003,81.870003,80.139999,80.239998,79.621201,419295
2015-04-23,80.129997,80.750000,78.830002,79.470001,78.857140,438995
2015-04-24,79.629997,80.470001,79.459999,80.250000,79.631126,362117
2015-04-27,80.870003,81.720001,79.629997,81.720001,81.089790,343459
2015-04-28,81.680000,81.690002,79.849998,80.230003,79.611282,490540
2015-04-29,80.410004,80.669998,77.699997,77.699997,77.100784,546117
2015-04-30,77.489998,78.730003,76.750000,77.959999,77.358788,546212
2015-05-04,77.959999,79.150002,77.779999,78.750000,78.142693,506786
2015-05-05,78.489998,79.800003,76.639999,76.669998,76.078735,615722
2015-05-06,76.860001,77.849998,76.400002,76.809998,76.217651,401159
2015-05-07,76.059998,80.660004,75.500000,79.260002,78.648766,1191934
2015-05-08,79.900002,81.849998,79.650002,81.660004,81.030258,705964
2015-05-11,81.089996,81.889999,80.480003,80.769997,80.147110,476609
2015-05-12,80.110001,80.389999,79.110001,79.959999,79.343361,478829
2015-05-13,80.379997,80.919998,79.019997,79.300003,78.688454,351321
2015-05-14,79.000000,81.339996,78.650002,81.260002,80.633339,330147
2015-05-15,81.500000,81.860001,80.150002,80.610001,79.988350,387546
2015-05-18,80.589996,81.820000,79.989998,81.820000,81.189018,343518
2015-05-19,82.099998,83.820000,82.099998,83.699997,83.054520,342920
2015-05-20,83.669998,83.870003,82.860001,82.900002,82.260689,410788
2015-05-21,82.709999,83.129997,82.449997,83.080002,82.439301,291808
2015-05-22,83.529999,84.029999,82.889999,83.110001,82.469070,359890
2015-05-26,83.110001,83.629997,81.699997,81.769997,81.139404,516208
2015-05-27,82.070000,84.269997,82.059998,83.900002,83.252975,598079
2015-05-28,83.769997,84.279999,83.339996,83.680000,83.034676,375948
2015-05-29,84.010002,84.010002,82.339996,82.419998,81.784386,491888
2015-06-01,82.889999,83.360001,82.040001,82.650002,82.012619,253151
2015-06-02,82.940002,82.940002,81.000000,81.029999,80.405106,343679
2015-06-03,81.029999,82.120003,80.279999,81.550003,80.921104,355215
2015-06-04,81.449997,82.029999,79.610001,81.099998,80.474571,318392
2015-06-05,80.400002,80.800003,79.230003,79.230003,78.618996,414085
2015-06-08,79.040001,79.300003,78.400002,78.839996,78.231995,242606
2015-06-09,78.699997,78.839996,77.360001,77.849998,77.249634,374098
2015-06-10,77.669998,78.760002,77.419998,78.610001,78.003777,611514
2015-06-11,78.169998,80.260002,78.169998,79.480003,78.867065,374012
2015-06-12,79.430000,79.470001,77.470001,78.089996,77.487778,345217
2015-06-15,77.070000,77.879997,77.070000,77.400002,76.803108,297539
2015-06-16,76.989998,78.339996,76.320000,78.139999,77.537399,466358
2015-06-17,78.620003,78.879997,76.839996,77.220001,76.624496,324382
2015-06-18,77.099998,78.290001,76.279999,78.129997,77.527473,390926
2015-06-19,78.489998,78.900002,76.779999,77.120003,76.525269,663669
2015-06-22,78.629997,79.000000,77.860001,78.919998,78.311378,470826
2015-06-23,79.379997,79.879997,78.980003,79.419998,78.807526,349463
2015-06-24,79.550003,79.610001,78.610001,79.040001,78.430458,259145
2015-06-25,78.239998,79.589996,77.980003,78.629997,78.023613,296331
2015-06-26,78.099998,79.389999,78.029999,78.910004,78.301460,206828
2015-06-29,76.339996,77.959999,75.690002,76.309998,75.721504,549744
2015-06-30,76.000000,76.129997,74.570000,75.139999,74.560532,935453
2015-07-01,75.839996,77.260002,75.150002,76.379997,75.790970,560757
2015-07-02,76.260002,76.620003,75.540001,75.750000,75.165833,259408
2015-07-03,75.620003,75.820000,74.790001,75.099998,74.520844,288101
2015-07-06,73.849998,75.080002,73.199997,74.550003,73.975090,348758
2015-07-07,74.879997,74.940002,73.750000,73.870003,73.300331,419478
2015-07-08,74.309998,74.779999,73.959999,74.320000,73.746857,492598
2015-07-09,74.660004,75.339996,74.370003,75.080002,74.500999,611093
2015-07-10,76.680000,77.489998,76.040001,77.360001,76.763412,450407
2015-07-13,78.230003,78.400002,77.459999,78.089996,77.487778,310554
2015-07-14,78.160004,78.870003,78.019997,78.639999,78.033539,309542
2015-07-15,78.790001,79.040001,78.379997,78.949997,78.341148,290210
2015-07-16,79.120003,80.209999,79.040001,79.500000,78.886909,374559
2015-07-17,79.500000,80.019997,79.250000,79.440002,78.827377,263842
2015-07-20,79.800003,80.230003,79.339996,80.099998,79.482285,271723
2015-07-21,80.320000,80.370003,78.860001,79.080002,78.470154,278597
2015-07-22,78.879997,79.379997,78.550003,78.680000,78.073235,258884
2015-07-23,79.290001,79.419998,78.059998,78.699997,78.093079,226412
2015-07-24,78.519997,79.349998,78.250000,78.330002,77.725937,287368
2015-07-27,77.870003,78.139999,76.680000,76.680000,76.088654,323308
2015-07-28,76.860001,77.669998,76.449997,77.160004,76.564957,307319
2015-07-29,77.339996,78.000000,77.019997,77.449997,76.852715,331706
2015-07-30,77.699997,78.089996,77.070000,77.620003,77.021408,219135
2015-07-31,77.720001,77.980003,77.089996,77.820000,77.219864,371395
2015-08-03,77.879997,79.820000,77.699997,79.809998,79.194519,317660
2015-08-04,79.940002,80.150002,79.300003,79.980003,79.363213,424489
2015-08-05,81.430000,83.349998,81.050003,82.900002,82.260689,834740
2015-08-06,82.900002,83.330002,82.720001,83.029999,82.389687,306638
2015-08-07,82.820000,83.000000,81.970001,81.970001,81.337860,360588
2015-08-10,82.169998,82.489998,81.370003,82.370003,81.734779,320988
2015-08-11,82.320000,82.320000,79.879997,80.550003,79.928818,500187
2015-08-12,79.339996,79.430000,76.650002,76.820000,76.227577,626433
2015-08-13,77.489998,78.610001,77.269997,77.650002,77.051178,390714
2015-08-14,77.800003,78.589996,77.410004,77.980003,77.378632,314352
